z,gpz:z,error,Model Uncertaties,Noise,MAG_AUTO_G_DERED,MAG_AUTO_R_DERED,MAG_AUTO_I_DERED,MAG_AUTO_Z_DERED,MAG_AUTO_Y_DERED
0.5614,0.4828804532184747,-0.07851954306219544,1.2257632130792638e-05,0.006322287884273523,22.453943252563477,20.905195236206055,20.2899227142334,19.83685874938965,19.78694725036621
0.988,0.972134505795748,-0.015865469885556926,2.175447843809365e-05,0.025714659638442782,24.534982681274414,23.400371551513672,22.336177825927734,21.498170852661133,21.41751480102539
0.7464,0.8281739323761095,0.08177393371125352,2.2655410610329316e-05,0.013137037990155562,24.234987258911133,22.269746780395508,21.1575984954834,20.562665939331055,20.21309471130371
0.8274,0.8467489552721983,0.019348926566601365,8.19568245738214e-05,0.018365973499286405,23.362075805664062,23.25611114501953,22.488981246948242,21.96054458618164,25.042966842651367
0.5613,0.6838284701422126,0.12252849045547554,3.9104790731461215e-06,0.0032315373517810587,23.910160064697266,22.359241485595703,21.38325309753418,21.161582946777344,21.310823440551758
0.6417,0.6789046980472117,0.03720466867404271,5.632637668232589e-06,0.004433807880164231,22.27516746520996,21.334514617919922,20.701154708862305,20.5913143157959,20.4112491607666
0.5284,0.5928416934113484,0.0644416895012837,4.620092749026672e-06,0.010775946426295013,22.92205238342285,22.161880493164062,21.87502670288086,21.670608520507812,21.465925216674805
0.6542,0.608730241368807,-0.045469776083432945,4.857968588313963e-06,0.008761124645227714,23.072078704833984,22.19646644592285,21.782873153686523,21.741943359375,21.684091567993164
0.7966,0.628553295061689,-0.16804668910731735,1.8891547139195725e-05,0.04885533611799754,23.081924438476562,22.649160385131836,22.55482292175293,22.309478759765625,23.65576171875
0.808,0.7125553565789896,-0.09544467155440273,5.042965602669416e-06,0.01404065237924425,24.045446395874023,22.52765655517578,21.625253677368164,21.203630447387695,21.209245681762695
0.7662,0.757428056733336,-0.008771949274812174,5.260824365551979e-06,0.01009309005459205,24.398365020751953,22.909147262573242,21.88771629333496,21.454914093017578,21.391836166381836
0.8127,0.9212106019273532,0.10851062834413172,9.437547028987088e-06,0.018890690953913523,23.48024559020996,22.83064079284668,22.168643951416016,21.651782989501953,21.55553436279297
0.826,0.6879115077655716,-0.13808846743889613,5.502587383498942e-06,0.009238935852628912,23.083084106445312,22.255462646484375,21.755268096923828,21.4698486328125,22.094585418701172
0.6244,0.8533843168999194,0.22898429725422853,1.2508291399061701e-05,0.04229898028763083,22.779388427734375,22.301101684570312,21.87995719909668,21.5380916595459,21.238866806030273
0.6298,0.7099641077791192,0.08016408613071224,1.3220683814551142e-05,0.02904193557564837,23.106842041015625,22.59756088256836,22.377248764038086,22.103878021240234,22.081069946289062
0.8135,0.6963569381382325,-0.11714304898716421,3.6499665742897177e-06,0.005800564195107069,24.427457809448242,22.657852172851562,21.641016006469727,21.223196029663086,21.37285041809082
0.6823,0.6404612566967319,-0.04183871488377344,4.245681826109255e-06,0.007801838287244897,22.473623275756836,21.738645553588867,21.296890258789062,21.196613311767578,21.075014114379883
0.4953,0.4884529598196612,-0.006847035125864931,1.8902932992112377e-05,0.003132960331310533,21.985530853271484,20.191875457763672,19.506317138671875,19.13086700439453,19.01759910583496
0.7814,0.7588750785344851,-0.022524946356414555,8.801536840768399e-06,0.01237036037300951,23.71936798095703,22.98798942565918,22.23943328857422,22.279598236083984,21.38034439086914
0.855,0.7612461519171014,-0.0937538671563849,7.850268332361655e-06,0.01098953084776329,22.808738708496094,21.73004913330078,20.85630226135254,20.37342643737793,20.250713348388672
0.481,0.5503170646348643,0.06931705843598124,8.617012524283687e-06,0.008993940809316885,22.144926071166992,21.5447998046875,21.311246871948242,21.39609718322754,21.20840072631836
0.5613,0.5589042179643016,-0.0023957617224354966,3.180985242462657e-06,0.0016676349926006454,23.169200897216797,21.3197078704834,20.498958587646484,20.065898895263672,19.94021224975586
0.4909,0.48495811424553337,-0.005941895624995808,4.574483170426646e-06,0.0025665596585699984,22.71623420715332,21.507740020751953,21.161640167236328,20.92386817932129,20.999788284301758
0.749,0.7315080134606392,-0.017491999413964066,6.24660612863409e-06,0.022269409329831718,23.639970779418945,22.893875122070312,22.314945220947266,22.336416244506836,21.81734848022461
0.9374,0.8978308357761209,-0.03956914762994601,6.1120366396917715e-06,0.015240520275028698,23.274913787841797,22.988601684570312,22.37097930908203,22.164506912231445,22.389522552490234
0.8065,0.8171705408835405,0.01067052324056561,8.431473094325267e-06,0.005750162850811565,23.939695358276367,22.21241569519043,20.960956573486328,20.345903396606445,20.27374839782715
0.9519,0.8868714105677372,-0.06502859477283895,8.939045952504933e-06,0.007730743678416131,23.23573875427246,22.857128143310547,21.92502784729004,21.730316162109375,22.798107147216797
0.5687,0.5026644938532634,-0.06603552169162796,1.0716777451256263e-05,0.010906422766312554,23.65785789489746,22.203842163085938,21.81256675720215,21.287425994873047,21.2164249420166
0.6634,0.7043481076279249,0.04094811325460335,6.459069511628181e-06,0.006216118515011345,23.39460563659668,22.526670455932617,21.888294219970703,21.82847785949707,22.125791549682617
0.8026,0.7201660114471267,-0.0824340146835496,6.663320202234516e-06,0.004574140241164477,24.40068817138672,22.992202758789062,21.956541061401367,21.83284568786621,21.881553649902344
1.049,0.9793426592446841,-0.06965736555084812,1.2084913974075642e-05,0.020687100565279115,23.20737075805664,22.9826717376709,22.226160049438477,21.79585075378418,21.142059326171875
0.9918,0.9366863043722506,-0.05511370583206454,7.552557010523726e-06,0.02616689840603477,23.06756591796875,22.839223861694336,22.197460174560547,21.910444259643555,21.8590145111084
0.6196,0.6071607371750757,-0.012439260822208253,4.190711458492022e-06,0.003622377898353111,22.410282135009766,21.482433319091797,21.023225784301758,20.873876571655273,21.103784561157227
0.8119,1.0037165973655806,0.1918165777198897,2.8732775273877264e-05,0.0626233629689735,22.97199058532715,22.248384475708008,21.713327407836914,21.041872024536133,19.977663040161133
0.8135,0.7989219055144867,-0.01457808161091001,7.241594653570001e-06,0.007861505791882975,23.023237228393555,21.99332046508789,21.015703201293945,20.538434982299805,20.68191146850586
0.6705,0.7415254774228128,0.07102549697313632,9.799721295457914e-06,0.02850529793265506,23.110511779785156,22.354822158813477,21.953584671020508,21.58364486694336,21.07056427001953
0.9084,0.7940978731457741,-0.11430212599591905,8.190277219721064e-06,0.015183824928027355,24.283414840698242,23.32298469543457,22.345836639404297,22.249759674072266,22.819217681884766
0.509,0.5623996223027812,0.05339961896492107,1.0133384941469375e-05,0.016538876678829816,23.405704498291016,22.16216278076172,21.761629104614258,21.300535202026367,20.69341468811035
0.8697,0.7785789388910436,-0.09112107570017347,8.027647517800183e-06,0.005122230005581535,23.477365493774414,22.26681900024414,21.196592330932617,20.81855010986328,20.459657669067383
0.7233,0.7842305697241646,0.06093058956059039,7.004569912097081e-06,0.010301371639004983,23.455394744873047,22.526609420776367,21.570436477661133,21.33598518371582,21.589195251464844
0.5486,0.5843962334213137,0.03579621539686917,6.6836197177703e-06,0.015190781535519997,22.806140899658203,22.01405143737793,21.74057960510254,21.45363426208496,21.07698631286621
0.9819,0.9501384914566211,-0.031761485273725576,3.457737698961913e-05,0.010058259412942043,24.46997833251953,23.638946533203125,22.37716293334961,21.471330642700195,21.911943435668945
1.024,0.8006313512980032,-0.2233686973393869,7.551715030809319e-06,0.01234979352306565,23.647279739379883,22.899179458618164,22.15361213684082,21.911012649536133,21.44882583618164
0.5672,0.6022497095578524,0.03504970450337852,7.585876070286697e-06,0.02531199026825399,22.628318786621094,22.150304794311523,21.955373764038086,21.9127140045166,22.198246002197266
0.9076,0.8924497524707071,-0.015150233128810697,4.8423378181832916e-05,0.01725396899626492,22.72948455810547,22.936216354370117,22.039440155029297,21.852794647216797,21.149995803833008
0.9271,0.950262136546648,0.023162133780992522,1.7585117799993117e-05,0.022610772884659736,22.7362060546875,22.103893280029297,21.058048248291016,20.447134017944336,20.244375228881836
0.6566,0.643370848407308,-0.013229150066813133,1.4385480575186876e-05,0.042856123573470864,23.26251220703125,22.753889083862305,22.464479446411133,22.66448974609375,21.797603607177734
